Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,22,WSN,NL,138,553,507,76,124,22,5,18,57,41,4,28,110,.245,.300,.414,.714,96,210,6,13,3,2,2,*6/H,abramcj01
2,José Abreu,36,HOU,AL,128,539,490,55,115,19,0,15,79,0,1,39,116,.235,.295,.365,.660,82,179,14,5,0,5,1,*3/D,abreujo02
3,Wilyer Abreu*,24,BOS,AL,19,61,54,8,20,5,0,1,10,3,1,7,15,.370,.443,.519,.961,158,28,0,0,0,0,0,/87H9D,abreuwi02
4,Ronald Acuna Jr.,25,ATL,NL,147,685,597,135,201,32,3,37,98,66,13,78,78,.337,.418,.586,1.004,166,350,15,7,0,3,3,*9/D,acunaro01
5,Willy Adames,27,MIL,NL,136,584,509,67,108,23,2,24,77,4,3,61,151,.212,.301,.407,.707,92,207,11,6,0,6,0,*6/D,adamewi01
6,Jordyn Adams,23,LAA,AL,17,40,39,1,5,0,0,0,1,1,2,0,16,.128,.125,.128,.253,-31,5,0,0,0,1,0,/98H7,adamsjo03
7,Riley Adams,27,WSN,NL,44,158,143,8,39,13,2,4,21,0,0,11,45,.273,.331,.476,.807,121,68,5,2,1,1,0,2/HD,adamsri03
8,Ty Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,adcocty01
9,Jo Adell,24,LAA,AL,5,14,13,2,3,1,1,1,3,0,0,1,6,.231,.286,.692,.978,153,9,0,0,0,0,0,/8D7H9,adelljo01
10,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,.000,.091,.000,.091,-72,0,0,0,0,0,0,/H6,adriaeh01
11,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,.221,.281,.385,.665,87,40,3,1,0,1,2,3/DH,aguilje01
12,Nick Ahmed,33,ARI,NL,72,210,198,14,42,10,1,2,17,5,1,12,52,.212,.257,.303,.560,53,60,0,0,0,0,0,6H/D,ahmedni01
13,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,.220,.261,.390,.652,75,32,1,1,2,1,0,54/31H,alberha01
14,Ozzie Albies#,26,ATL,NL,134,592,535,83,142,23,4,30,97,12,0,40,96,.265,.322,.492,.814,114,263,8,8,0,7,2,*4,albieoz01
15,Scott Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
16,Jorge Alfaro,30,TOT,MLB,18,52,48,2,7,4,0,1,4,0,0,2,15,.146,.212,.292,.503,31,14,3,2,0,0,0,/D2H,alfarjo01
17,Jorge Alfaro,30,COL,NL,10,32,31,2,5,4,0,1,4,0,0,0,12,.161,.188,.387,.575,44,12,2,1,0,0,0,/DH2,alfarjo01
18,Jorge Alfaro,30,BOS,AL,8,20,17,0,2,0,0,0,0,0,0,2,3,.118,.250,.118,.368,5,2,1,1,0,0,0,/2DH,alfarjo01
19,Greg Allen#,30,NYY,AL,22,28,23,6,5,1,1,1,1,3,1,2,10,.217,.333,.478,.812,119,11,0,2,1,0,0,7H/98D,allengr01
20,Nick Allen,24,OAK,AL,93,286,263,25,56,3,1,4,18,5,1,15,44,.213,.256,.278,.534,53,73,6,1,5,2,0,6/H4D,allenni02
21,Abraham Almonte#,34,NYM,NL,8,16,15,1,1,1,0,0,0,0,0,1,8,.067,.125,.133,.258,-28,2,0,0,0,0,0,/HD79,almonab01
22,Pete Alonso,28,NYM,NL,140,596,512,86,115,18,2,45,112,4,1,63,131,.225,.329,.531,.860,133,272,16,18,0,3,5,*3/D,alonspe01
23,Jose Altuve,33,HOU,AL,77,349,304,70,93,16,2,17,45,13,2,40,60,.306,.393,.539,.932,155,164,7,4,0,1,0,4/DH,altuvjo01
24,Jake Alu*,26,WSN,NL,40,139,130,9,29,1,0,1,12,4,1,6,35,.223,.266,.254,.520,46,33,2,2,0,1,0,47/5H,aluja01
25,Francisco Alvarez,21,NYM,NL,111,390,352,48,77,11,0,23,54,2,0,32,99,.219,.295,.446,.741,102,157,14,6,0,0,0,2H/D,alvarfr01
26,Yordan Alvarez*,26,HOU,AL,101,440,364,69,109,21,1,27,91,0,0,62,82,.299,.411,.585,.997,172,213,7,10,0,4,3,D7,alvaryo01
27,Jacob Amaya,24,MIA,NL,4,9,9,1,2,0,0,0,2,1,0,0,1,.222,.222,.222,.444,22,2,0,0,0,0,0,/64,amayaja01
28,Miguel Amaya,24,CHC,NL,48,144,119,17,27,4,0,5,18,0,0,12,38,.227,.350,.387,.736,99,46,2,11,1,1,0,2/DH,amayami01
29,Brian Anderson,30,MIL,NL,94,356,313,37,70,11,3,9,40,0,3,36,107,.224,.309,.364,.673,84,114,10,4,0,3,0,59/HD,anderbr06
